generation,solution_id,fft_size,s0_mult,s0_add,s1_mult,s1_add,s2_mult,s2_add,s3_mult,s3_add,power_W,area_LUTs,sqnr_dB,fp4_mult,fp8_mult,fp4_add,fp8_add
1,0,16,0,0,0,0,0,0,0,0,0.117000,1755,1.3500,0,0,4,0
1,1,16,1,1,1,1,1,1,1,1,0.132000,1865,41.4900,0,0,0,4
1,2,16,1,1,1,1,0,0,0,0,0.123000,2348,3.1300,0,0,2,2
1,3,16,0,0,0,0,1,1,1,1,0.124000,2356,2.9200,0,0,2,2
1,4,16,1,0,1,0,1,0,1,0,0.120000,2013,3.6700,0,0,4,0
1,5,16,0,1,0,1,0,1,0,1,0.127000,1598,13.0400,0,0,0,4
2,0,16,0,0,0,0,1,0,0,0,0.117000,2085,2.0300,0,0,4,0
2,1,16,0,1,1,1,0,0,0,0,0.124000,2684,4.7600,0,0,2,2
2,2,16,1,0,1,1,1,0,1,0,0.123000,2479,3.6700,0,0,3,1
2,3,16,1,0,1,0,0,0,1,0,0.118000,2085,3.8500,0,0,4,0
2,4,16,1,1,0,1,0,1,0,1,0.134000,2240,16.4100,0,0,0,4
2,5,16,0,1,1,0,0,0,0,0,0.120000,2422,3.0900,0,0,3,1
3,0,16,0,1,0,1,1,1,0,1,0.132000,2240,14.1400,0,0,0,4
3,1,16,1,0,1,1,0,1,1,1,0.132000,2837,5.3100,0,0,1,3
3,2,16,0,1,0,1,0,1,1,1,0.131000,2241,12.7200,0,0,0,4
3,3,16,1,1,1,1,0,1,0,1,0.136000,2229,15.9600,0,0,0,4
3,4,16,0,0,0,0,0,0,0,1,0.121000,2194,1.4400,0,0,3,1
3,5,16,0,1,0,1,0,0,0,1,0.121000,2173,2.1800,0,0,1,3
